sex,country,year,age,suicides_no,population,suicides/100k pop,HDI for year,gdp_for_year ($) ,gdp_per_capita ($)
female,Costa Rica,2006,25-34 years,10,329678,"3,03",,22600431878,5716
female,Costa Rica,2006,35-54 years,14,550398,"2,54",,22600431878,5716
female,Costa Rica,2006,5-14 years,5,390001,"1,28",,22600431878,5716
female,Costa Rica,2006,55-74 years,6,246771,"2,43",,22600431878,5716
female,Costa Rica,2006,75+ years,2,62224,"3,21",,22600431878,5716
female,Costa Rica,2007,15-24 years,20,399875,5,,26743874206,6661
female,Costa Rica,2007,25-34 years,11,337810,"3,26",,26743874206,6661
female,Costa Rica,2007,35-54 years,9,561684,"1,6",,26743874206,6661
female,Costa Rica,2007,5-14 years,1,386007,"0,26",,26743874206,6661
female,Costa Rica,2007,55-74 years,3,255955,"1,17",,26743874206,6661
female,Costa Rica,2007,75+ years,0,65096,0,,26743874206,6661
female,Costa Rica,2008,15-24 years,9,402172,"2,24",,30612932876,7517
female,Costa Rica,2008,25-34 years,6,346673,"1,73",,30612932876,7517
female,Costa Rica,2008,35-54 years,10,572144,"1,75",,30612932876,7517
female,Costa Rica,2008,5-14 years,2,381011,"0,52",,30612932876,7517
female,Costa Rica,2008,55-74 years,5,265460,"1,88",,30612932876,7517
female,Costa Rica,2008,75+ years,2,68001,"2,94",,30612932876,7517
female,Costa Rica,2009,15-24 years,11,403629,"2,73",,30562361123,7403
female,Costa Rica,2009,25-34 years,10,355653,"2,81",,30562361123,7403
female,Costa Rica,2009,35-54 years,13,582223,"2,23",,30562361123,7403
female,Costa Rica,2009,5-14 years,3,375428,"0,8",,30562361123,7403
female,Costa Rica,2009,55-74 years,5,275859,"1,81",,30562361123,7403
female,Costa Rica,2009,75+ years,0,71022,0,,30562361123,7403
female,Costa Rica,2010,15-24 years,10,404425,"2,47","0,75",37268635287,8906
female,Costa Rica,2010,25-34 years,12,364253,"3,29","0,75",37268635287,8906
female,Costa Rica,2010,35-54 years,16,592166,"2,7","0,75",37268635287,8906
female,Costa Rica,2010,5-14 years,0,369792,0,"0,75",37268635287,8906
female,Costa Rica,2010,55-74 years,5,287471,"1,74","0,75",37268635287,8906
female,Costa Rica,2010,75+ years,0,74234,0,"0,75",37268635287,8906
female,Costa Rica,2011,15-24 years,20,404197,"4,95",756,42262697840,9978
female,Costa Rica,2011,25-34 years,8,371907,"2,15",756,42262697840,9978
female,Costa Rica,2011,35-54 years,14,600898,"2,33",756,42262697840,9978
female,Costa Rica,2011,5-14 years,2,364605,"0,55",756,42262697840,9978
female,Costa Rica,2011,55-74 years,8,299105,"2,67",756,42262697840,9978
female,Costa Rica,2011,75+ years,1,77576,"1,29",756,42262697840,9978
female,Costa Rica,2012,15-24 years,10,403604,"2,48",761,46473128286,10832
female,Costa Rica,2012,25-34 years,7,379310,"1,85",761,46473128286,10832
female,Costa Rica,2012,35-54 years,16,609857,"2,62",761,46473128286,10832
female,Costa Rica,2012,5-14 years,3,360319,"0,83",761,46473128286,10832
female,Costa Rica,2012,55-74 years,6,311981,"1,92",761,46473128286,10832
female,Costa Rica,2012,75+ years,0,81071,0,761,46473128286,10832
female,Costa Rica,2013,15-24 years,8,402392,"1,99",764,49745088112,11443
female,Costa Rica,2013,25-34 years,11,386168,"2,85",764,49745088112,11443
female,Costa Rica,2013,35-54 years,13,618837,"2,1",764,49745088112,11443
female,Costa Rica,2013,5-14 years,1,357050,"0,28",764,49745088112,11443
female,Costa Rica,2013,55-74 years,5,325956,"1,53",764,49745088112,11443
female,Costa Rica,2013,75+ years,1,84743,"1,18",764,49745088112,11443
female,Costa Rica,2014,15-24 years,12,400170,3,766,50577769838,11485
female,Costa Rica,2014,25-34 years,12,392153,"3,06",766,50577769838,11485
female,Costa Rica,2014,35-54 years,11,627502,"1,75",766,50577769838,11485
female,Costa Rica,2014,5-14 years,3,354701,"0,85",766,50577769838,11485
female,Costa Rica,2014,55-74 years,5,340748,"1,47",766,50577769838,11485
female,Costa Rica,2014,75+ years,2,88574,"2,26",766,50577769838,11485
female,Costa Rica,2015,15-24 years,,,,,,
female,Costa Rica,2015,25-34 years,,,,,,
female,Costa Rica,2015,35-54 years,,,,,,
female,Costa Rica,2015,5-14 years,,,,,,
female,Costa Rica,2015,55-74 years,,,,,,
female,Costa Rica,2015,75+ years,,,,,,
female,Costa Rica,2016,15-24 years,,,,,,
female,Costa Rica,2016,25-34 years,,,,,,
female,Costa Rica,2016,35-54 years,,,,,,
female,Costa Rica,2016,5-14 years,,,,,,
female,Costa Rica,2016,55-74 years,,,,,,
female,Costa Rica,2016,75+ years,,,,,,
female,Croatia,1985,15-24 years,,,,,,
female,Croatia,1985,25-34 years,,,,,,
female,Croatia,1985,35-54 years,,,,,,
female,Croatia,1985,5-14 years,,,,,,
female,Croatia,1985,55-74 years,,,,,,
female,Croatia,1985,75+ years,,,,,,
female,Croatia,1986,15-24 years,,,,,,
female,Croatia,1986,25-34 years,,,,,,
female,Croatia,1986,35-54 years,,,,,,
female,Croatia,1986,5-14 years,,,,,,
female,Croatia,1986,55-74 years,,,,,,
female,Croatia,1986,75+ years,,,,,,
female,Croatia,1987,15-24 years,,,,,,
female,Croatia,1987,25-34 years,,,,,,
female,Croatia,1987,35-54 years,,,,,,
female,Croatia,1987,5-14 years,,,,,,
female,Croatia,1987,55-74 years,,,,,,
female,Croatia,1987,75+ years,,,,,,
female,Croatia,1988,15-24 years,,,,,,
female,Croatia,1988,25-34 years,,,,,,
female,Croatia,1988,35-54 years,,,,,,
female,Croatia,1988,5-14 years,,,,,,
female,Croatia,1988,55-74 years,,,,,,
female,Croatia,1988,75+ years,,,,,,
female,Croatia,1989,15-24 years,,,,,,
female,Croatia,1989,25-34 years,,,,,,
female,Croatia,1989,35-54 years,,,,,,
female,Croatia,1989,5-14 years,,,,,,
female,Croatia,1989,55-74 years,,,,,,
female,Croatia,1989,75+ years,,,,,,
female,Croatia,1990,15-24 years,,,,,,
female,Croatia,1990,25-34 years,,,,,,
female,Croatia,1990,35-54 years,,,,,,
female,Croatia,1990,5-14 years,,,,,,
female,Croatia,1990,55-74 years,,,,,,
female,Croatia,1990,75+ years,,,,,,
female,Croatia,1991,15-24 years,,,,,,
female,Croatia,1991,25-34 years,,,,,,
female,Croatia,1991,35-54 years,,,,,,
female,Croatia,1991,5-14 years,,,,,,
female,Croatia,1991,55-74 years,,,,,,
female,Croatia,1991,75+ years,,,,,,
female,Croatia,1992,15-24 years,,,,,,
female,Croatia,1992,25-34 years,,,,,,
female,Croatia,1992,35-54 years,,,,,,
female,Croatia,1992,5-14 years,,,,,,
female,Croatia,1992,55-74 years,,,,,,
female,Croatia,1992,75+ years,,,,,,
female,Croatia,1993,15-24 years,,,,,,
female,Croatia,1993,25-34 years,,,,,,
female,Croatia,1993,35-54 years,,,,,,
female,Croatia,1993,5-14 years,,,,,,
female,Croatia,1993,55-74 years,,,,,,
female,Croatia,1993,75+ years,,,,,,
female,Croatia,1994,15-24 years,,,,,,
female,Croatia,1994,25-34 years,,,,,,
female,Croatia,1994,35-54 years,,,,,,
female,Croatia,1994,5-14 years,,,,,,
female,Croatia,1994,55-74 years,,,,,,
female,Croatia,1994,75+ years,,,,,,
female,Croatia,1995,15-24 years,17,322000,"5,28",694,22387561845,4978
female,Croatia,1995,25-34 years,21,349900,6,694,22387561845,4978
female,Croatia,1995,35-54 years,65,649700,10,694,22387561845,4978
female,Croatia,1995,5-14 years,1,313800,"0,32",694,22387561845,4978
female,Croatia,1995,55-74 years,99,544100,"18,2",694,22387561845,4978
female,Croatia,1995,75+ years,39,147800,"26,39",694,22387561845,4978
female,Croatia,1996,15-24 years,18,299900,6,,23678012697,5610
female,Croatia,1996,25-34 years,22,338200,"6,51",,23678012697,5610
female,Croatia,1996,35-54 years,65,595500,"10,92",,23678012697,5610
female,Croatia,1996,5-14 years,3,303200,"0,99",,23678012697,5610
female,Croatia,1996,55-74 years,115,519900,"22,12",,23678012697,5610
female,Croatia,1996,75+ years,40,144500,"27,68",,23678012697,5610
female,Croatia,1997,15-24 years,16,305100,"5,24",,23822087053,5546
female,Croatia,1997,25-34 years,29,344100,"8,43",,23822087053,5546
female,Croatia,1997,35-54 years,59,606000,"9,74",,23822087053,5546
female,Croatia,1997,5-14 years,2,308500,"0,65",,23822087053,5546
female,Croatia,1997,55-74 years,93,528900,"17,58",,23822087053,5546
female,Croatia,1997,75+ years,55,147100,"37,39",,23822087053,5546
female,Croatia,1998,15-24 years,14,300300,"4,66",,25432144406,6015
female,Croatia,1998,25-34 years,18,338800,"5,31",,25432144406,6015
female,Croatia,1998,35-54 years,75,596500,"12,57",,25432144406,6015
female,Croatia,1998,5-14 years,2,303600,"0,66",,25432144406,6015
female,Croatia,1998,55-74 years,132,520800,"25,35",,25432144406,6015
female,Croatia,1998,75+ years,43,144700,"29,72",,25432144406,6015
female,Croatia,1999,15-24 years,15,304300,"4,93",,23386945597,5459
female,Croatia,1999,25-34 years,14,343200,"4,08",,23386945597,5459
female,Croatia,1999,35-54 years,70,604300,"11,58",,23386945597,5459
female,Croatia,1999,5-14 years,1,307600,"0,33",,23386945597,5459
female,Croatia,1999,55-74 years,132,527500,"25,02",,23386945597,5459
female,Croatia,1999,75+ years,41,147000,"27,89",,23386945597,5459
female,Croatia,2000,15-24 years,9,291900,"3,08",749,21774273832,5288
female,Croatia,2000,25-34 years,12,329100,"3,65",749,21774273832,5288
female,Croatia,2000,35-54 years,64,579800,"11,04",749,21774273832,5288
female,Croatia,2000,5-14 years,0,295200,0,749,21774273832,5288
female,Croatia,2000,55-74 years,99,506700,"19,54",749,21774273832,5288
female,Croatia,2000,75+ years,50,144600,"34,58",749,21774273832,5288
female,Croatia,2001,15-24 years,9,295822,"3,04",,23289671102,5571
female,Croatia,2001,25-34 years,17,293342,"5,8",,23289671102,5571
female,Croatia,2001,35-54 years,56,642506,"8,72",,23289671102,5571
female,Croatia,2001,5-14 years,1,252663,"0,4",,23289671102,5571
female,Croatia,2001,55-74 years,101,526940,"19,17",,23289671102,5571
female,Croatia,2001,75+ years,41,163943,"25,01",,23289671102,5571
female,Croatia,2002,15-24 years,13,295800,"4,39",,26878499206,6373
female,Croatia,2002,25-34 years,21,293800,"7,15",,26878499206,6373
female,Croatia,2002,35-54 years,54,649700,"8,31",,26878499206,6373
female,Croatia,2002,5-14 years,0,252500,0,,26878499206,6373
female,Croatia,2002,55-74 years,88,530100,"16,6",,26878499206,6373
female,Croatia,2002,75+ years,54,172600,"31,29",,26878499206,6373
female,Croatia,2003,15-24 years,9,293600,"3,07",,34658113497,8202
female,Croatia,2003,25-34 years,10,294100,"3,4",,34658113497,8202
female,Croatia,2003,35-54 years,47,651200,"7,22",,34658113497,8202
female,Croatia,2003,5-14 years,1,250600,"0,4",,34658113497,8202
female,Croatia,2003,55-74 years,89,530900,"16,76",,34658113497,8202
female,Croatia,2003,75+ years,37,178300,"20,75",,34658113497,8202
female,Croatia,2004,15-24 years,14,290300,"4,82",,41574530816,9829
female,Croatia,2004,25-34 years,17,296600,"5,73",,41574530816,9829
female,Croatia,2004,35-54 years,64,648500,"9,87",,41574530816,9829
female,Croatia,2004,5-14 years,1,247600,"0,4",,41574530816,9829
female,Croatia,2004,55-74 years,87,531800,"16,36",,41574530816,9829
female,Croatia,2004,75+ years,43,185600,"23,17",,41574530816,9829
female,Croatia,2005,15-24 years,9,286454,"3,14",782,45416358502,10722
female,Croatia,2005,25-34 years,25,299476,"8,35",782,45416358502,10722
female,Croatia,2005,35-54 years,68,647419,"10,5",782,45416358502,10722
female,Croatia,2005,5-14 years,0,244865,0,782,45416358502,10722
female,Croatia,2005,55-74 years,76,534353,"14,22",782,45416358502,10722
female,Croatia,2005,75+ years,45,190621,"23,61",782,45416358502,10722
female,Croatia,2006,15-24 years,11,282298,"3,9",,50453577898,11914
female,Croatia,2006,25-34 years,6,302776,"1,98",,50453577898,11914
female,Croatia,2006,35-54 years,67,644066,"10,4",,50453577898,11914
female,Croatia,2006,5-14 years,1,240427,"0,42",,50453577898,11914
female,Croatia,2006,55-74 years,90,534005,"16,85",,50453577898,11914
female,Croatia,2006,75+ years,48,197868,"24,26",,50453577898,11914
female,Croatia,2007,15-24 years,11,277133,"3,97",,60093222709,14204
female,Croatia,2007,25-34 years,11,303954,"3,62",,60093222709,14204
female,Croatia,2007,35-54 years,45,642644,7,,60093222709,14204
female,Croatia,2007,5-14 years,2,236481,"0,85",,60093222709,14204
female,Croatia,2007,55-74 years,84,533554,"15,74",,60093222709,14204
female,Croatia,2007,75+ years,45,204595,"21,99",,60093222709,14204
female,Croatia,2008,15-24 years,7,272369,"2,57",,70481451449,16680
female,Croatia,2008,25-34 years,9,305383,"2,95",,70481451449,16680
female,Croatia,2008,35-54 years,47,638100,"7,37",,70481451449,16680
female,Croatia,2008,5-14 years,1,231806,"0,43",,70481451449,16680
female,Croatia,2008,55-74 years,72,536698,"13,42",,70481451449,16680
female,Croatia,2008,75+ years,48,210591,"22,79",,70481451449,16680
female,Croatia,2009,15-24 years,4,267054,"1,5",,62703143057,14872
female,Croatia,2009,25-34 years,7,306319,"2,29",,62703143057,14872
female,Croatia,2009,35-54 years,45,634366,"7,09",,62703143057,14872
female,Croatia,2009,5-14 years,0,226998,0,,62703143057,14872
female,Croatia,2009,55-74 years,63,537865,"11,71",,62703143057,14872
female,Croatia,2009,75+ years,53,216621,"24,47",,62703143057,14872
female,Croatia,2010,15-24 years,13,261670,"4,97",807,59829574391,14232
female,Croatia,2010,25-34 years,7,306249,"2,29",807,59829574391,14232
female,Croatia,2010,35-54 years,50,627682,"7,97",807,59829574391,14232
female,Croatia,2010,5-14 years,1,222940,"0,45",807,59829574391,14232
female,Croatia,2010,55-74 years,75,541827,"13,84",807,59829574391,14232
female,Croatia,2010,75+ years,46,221668,"20,75",807,59829574391,14232
female,Croatia,2011,15-24 years,8,258495,"3,09",814,62375044443,14890
female,Croatia,2011,25-34 years,11,304202,"3,62",814,62375044443,14890
female,Croatia,2011,35-54 years,52,621895,"8,36",814,62375044443,14890
female,Croatia,2011,5-14 years,0,217835,0,814,62375044443,14890
female,Croatia,2011,55-74 years,68,545430,"12,47",814,62375044443,14890
female,Croatia,2011,75+ years,43,225925,"19,03",814,62375044443,14890
female,Croatia,2012,15-24 years,5,245431,"2,04",817,56565475275,13952
female,Croatia,2012,25-34 years,13,283419,"4,59",817,56565475275,13952
female,Croatia,2012,35-54 years,42,594104,"7,07",817,56565475275,13952
female,Croatia,2012,5-14 years,1,207818,"0,48",817,56565475275,13952
female,Croatia,2012,55-74 years,73,541956,"13,47",817,56565475275,13952
female,Croatia,2012,75+ years,46,232222,"19,81",817,56565475275,13952
female,Croatia,2013,15-24 years,6,243263,"2,47",817,58085856019,14362
female,Croatia,2013,25-34 years,9,281138,"3,2",817,58085856019,14362
female,Croatia,2013,35-54 years,48,589432,"8,14",817,58085856019,14362
female,Croatia,2013,5-14 years,0,204491,0,817,58085856019,14362
female,Croatia,2013,55-74 years,48,544041,"8,82",817,58085856019,14362
female,Croatia,2013,75+ years,35,237107,"14,76",817,58085856019,14362
female,Croatia,2014,15-24 years,12,240071,5,818,57629518806,14299
female,Croatia,2014,25-34 years,11,277195,"3,97",818,57629518806,14299
female,Croatia,2014,35-54 years,49,583896,"8,39",818,57629518806,14299
female,Croatia,2014,5-14 years,1,202723,"0,49",818,57629518806,14299
female,Croatia,2014,55-74 years,71,547211,"12,97",818,57629518806,14299
female,Croatia,2014,75+ years,42,240853,"17,44",818,57629518806,14299
female,Croatia,2015,15-24 years,6,236301,"2,54",,49425513611,12351
female,Croatia,2015,25-34 years,7,271005,"2,58",,49425513611,12351
female,Croatia,2015,35-54 years,51,576262,"8,85",,49425513611,12351
female,Croatia,2015,5-14 years,2,201507,"0,99",,49425513611,12351
female,Croatia,2015,55-74 years,75,548940,"13,66",,49425513611,12351
female,Croatia,2015,75+ years,56,243369,"23,01",,49425513611,12351
female,Croatia,2016,15-24 years,6,231038,"2,6",,51338524831,12905
female,Croatia,2016,25-34 years,6,265327,"2,26",,51338524831,12905
female,Croatia,2016,35-54 years,47,570380,"8,24",,51338524831,12905
female,Croatia,2016,5-14 years,,,,,,
female,Croatia,2016,55-74 years,69,551758,"12,51",,51338524831,12905
female,Croatia,2016,75+ years,40,246002,"16,26",,51338524831,12905
female,Cuba,1985,15-24 years,,,,,,
female,Cuba,1985,25-34 years,,,,,,
female,Cuba,1985,35-54 years,,,,,,
female,Cuba,1985,5-14 years,,,,,,
female,Cuba,1985,55-74 years,,,,,,
female,Cuba,1985,75+ years,,,,,,
female,Cuba,1986,15-24 years,,,,,,
female,Cuba,1986,25-34 years,,,,,,
female,Cuba,1986,35-54 years,,,,,,
female,Cuba,1986,5-14 years,,,,,,
female,Cuba,1986,55-74 years,,,,,,
female,Cuba,1986,75+ years,,,,,,
female,Cuba,1987,15-24 years,,,,,,
female,Cuba,1987,25-34 years,,,,,,
female,Cuba,1987,35-54 years,,,,,,
female,Cuba,1987,5-14 years,,,,,,
female,Cuba,1987,55-74 years,,,,,,
female,Cuba,1987,75+ years,,,,,,
female,Cuba,1988,15-24 years,,,,,,
female,Cuba,1988,25-34 years,,,,,,
female,Cuba,1988,35-54 years,,,,,,
female,Cuba,1988,5-14 years,,,,,,
female,Cuba,1988,55-74 years,,,,,,
female,Cuba,1988,75+ years,,,,,,
female,Cuba,1989,15-24 years,,,,,,
female,Cuba,1989,25-34 years,,,,,,
female,Cuba,1989,35-54 years,,,,,,
female,Cuba,1989,5-14 years,,,,,,
female,Cuba,1989,55-74 years,,,,,,
female,Cuba,1989,75+ years,,,,,,
female,Cuba,1990,15-24 years,,,,,,
female,Cuba,1990,25-34 years,,,,,,
female,Cuba,1990,35-54 years,,,,,,
female,Cuba,1990,5-14 years,,,,,,
female,Cuba,1990,55-74 years,,,,,,
female,Cuba,1990,75+ years,,,,,,
female,Cuba,1991,15-24 years,,,,,,
female,Cuba,1991,25-34 years,,,,,,
female,Cuba,1991,35-54 years,,,,,,
female,Cuba,1991,5-14 years,,,,,,
female,Cuba,1991,55-74 years,,,,,,
female,Cuba,1991,75+ years,,,,,,
female,Cuba,1992,15-24 years,231,1040500,"22,2",,22085858243,2227
female,Cuba,1992,25-34 years,183,989700,"18,49",,22085858243,2227
female,Cuba,1992,35-54 years,256,1278000,"20,03",,22085858243,2227
female,Cuba,1992,5-14 years,16,765100,"2,09",,22085858243,2227
female,Cuba,1992,55-74 years,210,669000,"31,39",,22085858243,2227
female,Cuba,1992,75+ years,70,202100,"34,64",,22085858243,2227
female,Cuba,1993,15-24 years,178,997100,"17,85",,22367254865,2236
female,Cuba,1993,25-34 years,179,1030700,"17,37",,22367254865,2236
female,Cuba,1993,35-54 years,254,1289600,"19,7",,22367254865,2236
female,Cuba,1993,5-14 years,7,779200,"0,9",,22367254865,2236
female,Cuba,1993,55-74 years,262,685000,"38,25",,22367254865,2236
female,Cuba,1993,75+ years,84,208800,"40,23",,22367254865,2236
female,Cuba,1994,15-24 years,152,951400,"15,98",,28448326757,2820
female,Cuba,1994,25-34 years,156,1065200,"14,65",,28448326757,2820
female,Cuba,1994,35-54 years,235,1305600,18,,28448326757,2820
female,Cuba,1994,5-14 years,4,794500,"0,5",,28448326757,2820
female,Cuba,1994,55-74 years,229,702600,"32,59",,28448326757,2820
female,Cuba,1994,75+ years,61,214900,"28,39",,28448326757,2820
female,Cuba,1995,15-24 years,162,906300,"17,87",653,30429803651,2993
female,Cuba,1995,25-34 years,161,1090200,"14,77",653,30429803651,2993
female,Cuba,1995,35-54 years,241,1330000,"18,12",653,30429803651,2993
female,Cuba,1995,5-14 years,10,806800,"1,24",653,30429803651,2993
female,Cuba,1995,55-74 years,171,722000,"23,68",653,30429803651,2993
female,Cuba,1995,75+ years,68,219900,"30,92",653,30429803651,2993
female,Cuba,1996,15-24 years,113,862100,"13,11",,25017300000,2443
female,Cuba,1996,25-34 years,121,1105100,"10,95",,25017300000,2443
female,Cuba,1996,35-54 years,201,1364200,"14,73",,25017300000,2443
female,Cuba,1996,5-14 years,7,815000,"0,86",,25017300000,2443
female,Cuba,1996,55-74 years,157,743000,"21,13",,25017300000,2443
female,Cuba,1996,75+ years,61,223800,"27,26",,25017300000,2443
female,Cuba,1997,15-24 years,72,814728,"8,84",,25366200000,2472
female,Cuba,1997,25-34 years,107,1109991,"9,64",,25366200000,2472
female,Cuba,1997,35-54 years,216,1349406,"16,01",,25366200000,2472
female,Cuba,1997,5-14 years,6,829500,"0,72",,25366200000,2472
female,Cuba,1997,55-74 years,162,754121,"21,48",,25366200000,2472
female,Cuba,1997,75+ years,65,252298,"25,76",,25366200000,2472
female,Cuba,1998,15-24 years,86,776306,"11,08",,25736331247,2497
female,Cuba,1998,25-34 years,108,1101108,"9,81",,25736331247,2497
female,Cuba,1998,35-54 years,215,1403788,"15,32",,25736331247,2497
female,Cuba,1998,5-14 years,2,831009,"0,24",,25736331247,2497
female,Cuba,1998,55-74 years,172,769230,"22,36",,25736331247,2497
female,Cuba,1998,75+ years,72,256481,"28,07",,25736331247,2497
female,Cuba,1999,15-24 years,64,747370,"8,56",,28364615242,2741
female,Cuba,1999,25-34 years,92,1083689,"8,49",,28364615242,2741
female,Cuba,1999,35-54 years,182,1459750,"12,47",,28364615242,2741
female,Cuba,1999,5-14 years,5,826609,"0,6",,28364615242,2741
female,Cuba,1999,55-74 years,182,784857,"23,19",,28364615242,2741
female,Cuba,1999,75+ years,59,260459,"22,65",,28364615242,2741
female,Cuba,2000,15-24 years,51,730939,"6,98",685,30565400000,2940
female,Cuba,2000,25-34 years,104,1059128,"9,82",685,30565400000,2940
female,Cuba,2000,35-54 years,175,1514492,"11,56",685,30565400000,2940
female,Cuba,2000,5-14 years,3,818774,"0,37",685,30565400000,2940
female,Cuba,2000,55-74 years,147,801109,"18,35",685,30565400000,2940
female,Cuba,2000,75+ years,55,264516,"20,79",685,30565400000,2940
female,Cuba,2001,15-24 years,48,725348,"6,62",,31682400000,3037
female,Cuba,2001,25-34 years,74,1027578,"7,2",,31682400000,3037
female,Cuba,2001,35-54 years,147,1566463,"9,38",,31682400000,3037
female,Cuba,2001,5-14 years,3,804241,"0,37",,31682400000,3037
female,Cuba,2001,55-74 years,133,814327,"16,33",,31682400000,3037
female,Cuba,2001,75+ years,44,270115,"16,29",,31682400000,3037
female,Cuba,2002,15-24 years,29,732476,"3,96",,33590500000,3205
female,Cuba,2002,25-34 years,84,989884,"8,49",,33590500000,3205
female,Cuba,2002,35-54 years,160,1617731,"9,89",,33590500000,3205
female,Cuba,2002,5-14 years,3,787170,"0,38",,33590500000,3205
female,Cuba,2002,55-74 years,120,828394,"14,49",,33590500000,3205
female,Cuba,2002,75+ years,63,275561,"22,86",,33590500000,3205
female,Cuba,2003,15-24 years,31,747567,"4,15",,35901200000,3409
female,Cuba,2003,25-34 years,43,947698,"4,54",,35901200000,3409
female,Cuba,2003,35-54 years,132,1667152,"7,92",,35901200000,3409
female,Cuba,2003,5-14 years,1,769416,"0,13",,35901200000,3409
female,Cuba,2003,55-74 years,121,843896,"14,34",,35901200000,3409
female,Cuba,2003,75+ years,45,280928,"16,02",,35901200000,3409
female,Cuba,2004,15-24 years,23,762761,"3,02",,38203000000,3611
female,Cuba,2004,25-34 years,44,903292,"4,87",,38203000000,3611
female,Cuba,2004,35-54 years,135,1713275,"7,88",,38203000000,3611
female,Cuba,2004,5-14 years,2,753010,"0,27",,38203000000,3611
female,Cuba,2004,55-74 years,127,861682,"14,74",,38203000000,3611
female,Cuba,2004,75+ years,40,286074,"13,98",,38203000000,3611
female,Cuba,2005,15-24 years,36,772943,"4,66","0,73",42643836075,4017
female,Cuba,2005,25-34 years,34,858988,"3,96","0,73",42643836075,4017
female,Cuba,2005,35-54 years,114,1755272,"6,49","0,73",42643836075,4017
female,Cuba,2005,5-14 years,3,738427,"0,41","0,73",42643836075,4017
female,Cuba,2005,55-74 years,117,882355,"13,26","0,73",42643836075,4017
female,Cuba,2005,75+ years,47,291039,"16,15","0,73",42643836075,4017
female,Cuba,2006,15-24 years,17,781124,"2,18",,52742800000,4951
female,Cuba,2006,25-34 years,27,816467,"3,31",,52742800000,4951
female,Cuba,2006,35-54 years,98,1794025,"5,46",,52742800000,4951
female,Cuba,2006,5-14 years,1,722349,"0,14",,52742800000,4951
female,Cuba,2006,55-74 years,91,903899,"10,07",,52742800000,4951
female,Cuba,2006,75+ years,39,301101,"12,95",,52742800000,4951
female,Cuba,2007,15-24 years,15,784753,"1,91",,58603900000,5488
female,Cuba,2007,25-34 years,22,774006,"2,84",,58603900000,5488
female,Cuba,2007,35-54 years,93,1827402,"5,09",,58603900000,5488
female,Cuba,2007,5-14 years,0,706661,0,,58603900000,5488
female,Cuba,2007,55-74 years,87,929079,"9,36",,58603900000,5488
female,Cuba,2007,75+ years,49,310509,"15,78",,58603900000,5488
female,Cuba,2008,15-24 years,24,783884,"3,06",,60806300000,5686
female,Cuba,2008,25-34 years,18,735356,"2,45",,60806300000,5686
female,Cuba,2008,35-54 years,99,1855207,"5,34",,60806300000,5686
female,Cuba,2008,5-14 years,2,691240,"0,29",,60806300000,5686
female,Cuba,2008,55-74 years,130,956092,"13,6",,60806300000,5686
female,Cuba,2008,75+ years,37,319741,"11,57",,60806300000,5686
female,Cuba,2009,15-24 years,12,779355,"1,54",,62080000000,5797
female,Cuba,2009,25-34 years,23,705886,"3,26",,62080000000,5797
female,Cuba,2009,35-54 years,123,1877452,"6,55",,62080000000,5797
female,Cuba,2009,5-14 years,3,675592,"0,44",,62080000000,5797
female,Cuba,2009,55-74 years,131,982121,"13,34",,62080000000,5797
female,Cuba,2009,75+ years,44,329543,"13,35",,62080000000,5797
female,Cuba,2010,15-24 years,18,771457,"2,33",778,64328000000,5997
female,Cuba,2010,25-34 years,17,688810,"2,47",778,64328000000,5997
female,Cuba,2010,35-54 years,105,1893737,"5,54",778,64328000000,5997
female,Cuba,2010,5-14 years,7,660046,"1,06",778,64328000000,5997
female,Cuba,2010,55-74 years,142,1005594,"14,12",778,64328000000,5997
female,Cuba,2010,75+ years,40,340480,"11,75",778,64328000000,5997
female,Cuba,2011,15-24 years,13,761258,"1,71",776,68990000000,6419
female,Cuba,2011,25-34 years,20,686162,"2,91",776,68990000000,6419
female,Cuba,2011,35-54 years,106,1903248,"5,57",776,68990000000,6419
female,Cuba,2011,5-14 years,3,647275,"0,46",776,68990000000,6419
female,Cuba,2011,55-74 years,123,1022839,"12,03",776,68990000000,6419
female,Cuba,2011,75+ years,50,352169,"14,2",776,68990000000,6419
female,Cuba,2012,15-24 years,25,746677,"3,35",772,73141000000,6791
female,Cuba,2012,25-34 years,16,696377,"2,3",772,73141000000,6791
female,Cuba,2012,35-54 years,94,1906959,"4,93",772,73141000000,6791
female,Cuba,2012,5-14 years,2,634193,"0,32",772,73141000000,6791
female,Cuba,2012,55-74 years,107,1037368,"10,31",772,73141000000,6791
female,Cuba,2012,75+ years,52,364108,"14,28",772,73141000000,6791
female,Cuba,2013,15-24 years,20,729372,"2,74",768,77148000000,7148
female,Cuba,2013,25-34 years,20,714544,"2,8",768,77148000000,7148
female,Cuba,2013,35-54 years,94,1903641,"4,94",768,77148000000,7148
female,Cuba,2013,5-14 years,4,621473,"0,64",768,77148000000,7148
female,Cuba,2013,55-74 years,111,1052791,"10,54",768,77148000000,7148
female,Cuba,2013,75+ years,49,376280,"13,02",768,77148000000,7148
female,Cuba,2014,15-24 years,19,711945,"2,67",769,80656100000,7459
female,Cuba,2014,25-34 years,12,732841,"1,64",769,80656100000,7459
female,Cuba,2014,35-54 years,107,1891607,"5,66",769,80656100000,7459
female,Cuba,2014,5-14 years,2,610054,"0,33",769,80656100000,7459
